ProductKey,ProductAlternateKey,EnglishProductName,StandardCost,Color,ListPrice,ModelName
86,BK-T18Y-58,"Touring-3000 Yellow, 58",461.4448,Yellow,742.35,Touring-3000
87,BK-T18Y-62,"Touring-3000 Yellow, 62",461.4448,Yellow,742.35,Touring-3000
88,BK-T79U-46,"Touring-1000 Blue, 46",1481.9379,Blue,2384.07,Touring-1000
89,BK-T79U-50,"Touring-1000 Blue, 50",1481.9379,Blue,2384.07,Touring-1000
90,BK-T79U-54,"Touring-1000 Blue, 54",1481.9379,Blue,2384.07,Touring-1000
91,BK-T79U-60,"Touring-1000 Blue, 60",1481.9379,Blue,2384.07,Touring-1000
92,BK-T44U-46,"Touring-2000 Blue, 46",755.1508,Blue,1214.85,Touring-2000
93,BK-T44U-50,"Touring-2000 Blue, 50",755.1508,Blue,1214.85,Touring-2000
94,BK-T44U-54,"Touring-2000 Blue, 54",755.1508,Blue,1214.85,Touring-2000
95,BK-R79Y-40,"Road-350-W Yellow, 40",1082.51,Yellow,1700.99,Road-350-W
96,BK-R79Y-42,"Road-350-W Yellow, 42",1082.51,Yellow,1700.99,Road-350-W
97,BK-R79Y-44,"Road-350-W Yellow, 44",1082.51,Yellow,1700.99,Road-350-W
98,BK-R79Y-48,"Road-350-W Yellow, 48",1082.51,Yellow,1700.99,Road-350-W
99,BK-R19B-58,"Road-750 Black, 58",343.6496,Black,539.99,Road-750
100,BK-T18U-44,"Touring-3000 Blue, 44",461.4448,Blue,742.35,Touring-3000
101,BK-T18U-50,"Touring-3000 Blue, 50",461.4448,Blue,742.35,Touring-3000
102,BK-M38S-38,"Mountain-400-W Silver, 38",419.7784,Silver,769.49,Mountain-400-W
103,BK-M38S-40,"Mountain-400-W Silver, 40",419.7784,Silver,769.49,Mountain-400-W
104,BK-M38S-42,"Mountain-400-W Silver, 42",419.7784,Silver,769.49,Mountain-400-W
105,BK-M38S-46,"Mountain-400-W Silver, 46",419.7784,Silver,769.49,Mountain-400-W
106,BK-M18S-40,"Mountain-500 Silver, 40",308.2179,Silver,564.99,Mountain-500
107,BK-M18S-42,"Mountain-500 Silver, 42",308.2179,Silver,564.99,Mountain-500
108,BK-M18S-44,"Mountain-500 Silver, 44",308.2179,Silver,564.99,Mountain-500
109,BK-M18S-48,"Mountain-500 Silver, 48",308.2179,Silver,564.99,Mountain-500
110,BK-M18S-52,"Mountain-500 Silver, 52",308.2179,Silver,564.99,Mountain-500
111,BK-M18B-40,"Mountain-500 Black, 40",294.5797,Black,539.99,Mountain-500
112,BK-M18B-42,"Mountain-500 Black, 42",294.5797,Black,539.99,Mountain-500
113,BK-M18B-44,"Mountain-500 Black, 44",294.5797,Black,539.99,Mountain-500
114,BK-M18B-48,"Mountain-500 Black, 48",294.5797,Black,539.99,Mountain-500
115,BK-M18B-52,"Mountain-500 Black, 52",294.5797,Black,539.99,Mountain-500
116,BK-R19B-44,"Road-750 Black, 44",343.6496,Black,539.99,Road-750
117,BK-R19B-48,"Road-750 Black, 48",343.6496,Black,539.99,Road-750
118,BK-R19B-52,"Road-750 Black, 52",343.6496,Black,539.99,Road-750
