ProductAlternateKey,DateKey,UnitCost,UnitsBalance,InventoryValue
FR-M21S-44,20050630,82.11,438,35964.18
FR-M21S-48,20050630,99.29,438,43489.020000000004
FR-M21S-52,20050630,84.13,438,36848.939999999995
FR-M21B-42,20050630,77.67,438,34019.46
FR-M21B-44,20050630,77.67,438,34019.46
FR-M21B-48,20050630,77.67,438,34019.46
FR-M21B-52,20050630,130.08,438,56975.04000000001
FR-M63S-38,20050630,189.6,438,83044.8
FR-M21B-40,20050630,129.94,438,56913.72
FR-M21S-40,20050630,82.28,438,36038.64
BK-T44U-60,20050630,371.58,88,32699.039999999997
BK-T79Y-46,20050630,494.26,88,43494.88
BK-T79Y-50,20050630,494.26,88,43494.88
BK-T79Y-54,20050630,494.26,88,43494.88
BK-T79Y-60,20050630,494.26,88,43494.88
BK-T18U-54,20050630,173.14,88,15236.32
BK-T18U-58,20050630,173.14,88,15236.32
BK-T18U-62,20050630,173.14,88,15236.32
BK-T18Y-44,20050630,173.14,88,15236.32
BK-T18Y-50,20050630,173.14,88,15236.32
BK-T18Y-54,20050630,173.14,88,15236.32
BK-T18Y-58,20050630,173.14,88,15236.32
BK-T18Y-62,20050630,173.14,88,15236.32
BK-T79U-46,20050630,718.2,88,63201.600000000006
BK-T79U-50,20050630,729.22,88,64171.36
BK-T79U-54,20050630,729.22,88,64171.36
BK-T79U-60,20050630,729.22,88,64171.36
BK-T44U-46,20050630,371.58,88,32699.039999999997
BK-T44U-50,20050630,371.58,88,32699.039999999997
BK-T44U-54,20050630,371.58,88,32699.039999999997
BK-R79Y-40,20050630,586.69,88,51628.72
BK-R79Y-42,20050630,586.69,88,51628.72
BK-R79Y-44,20050630,639.67,88,56290.96
BK-R79Y-48,20050630,590.58,88,51971.04
BK-R19B-58,20050630,203.06,88,17869.28
BK-T18U-44,20050630,173.14,88,15236.32
BK-T18U-50,20050630,173.14,88,15236.32
BK-M38S-38,20050630,289.37,88,25464.56
BK-M38S-40,20050630,289.37,88,25464.56
BK-M38S-42,20050630,289.37,88,25464.56
BK-M38S-46,20050630,289.37,88,25464.56
BK-M18S-40,20050630,71.18,88,6263.84
BK-M18S-42,20050630,71.18,88,6263.84
BK-M18S-44,20050630,71.18,88,6263.84
BK-M18S-48,20050630,71.18,88,6263.84
BK-M18S-52,20050630,61.72,88,5431.36
BK-M18B-40,20050630,203.06,88,17869.28
BK-M18B-42,20050630,167.92,88,14776.96
BK-M18B-44,20050630,203.06,88,17869.28
BK-M18B-48,20050630,167.92,88,14776.96
BK-M18B-52,20050630,203.06,88,17869.28
BK-R19B-44,20050630,203.06,88,17869.28
BK-R19B-48,20050630,186.25,88,16390.0
BK-R19B-52,20050630,196.4,88,17283.2
