ProductAlternateKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,DealerPrice,ModelName,EnglishDescription
FR-R72Y-38,LB ,CM ,"ML Road Frame-W - Yellow, 38",360.9428,Yellow,500,375,594.83,38,38-40 CM,2.18,2,356.898,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-40,LB ,CM ,"ML Road Frame-W - Yellow, 40",360.9428,Yellow,500,375,594.83,40,38-40 CM,2.22,1,356.898,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-42,LB ,CM ,"ML Road Frame-W - Yellow, 42",360.9428,Yellow,500,375,594.83,42,42-46 CM,2.26,1,356.898,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-44,LB ,CM ,"ML Road Frame-W - Yellow, 44",360.9428,Yellow,500,375,594.83,44,42-46 CM,2.3,1,356.898,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-48,LB ,CM ,"ML Road Frame-W - Yellow, 48",360.9428,Yellow,500,375,594.83,48,48-52 CM,2.34,1,356.898,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R92B-62,LB ,CM ,"HL Road Frame - Black, 62",868.6342,Black,500,375,1431.5,62,60-62 CM,2.3,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-44,LB ,CM ,"HL Road Frame - Black, 44",868.6342,Black,500,375,1431.5,44,42-46 CM,2.12,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-48,LB ,CM ,"HL Road Frame - Black, 48",868.6342,Black,500,375,1431.5,48,48-52 CM,2.16,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-52,LB ,CM ,"HL Road Frame - Black, 52",868.6342,Black,500,375,1431.5,52,48-52 CM,2.2,1,858.9,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-T98Y-60,LB ,CM ,"HL Touring Frame - Yellow, 60",601.7437,Yellow,500,375,1003.91,60,60-62 CM,3.08,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T67Y-62,LB ,CM ,"LL Touring Frame - Yellow, 62",199.8519,Yellow,500,375,333.42,62,60-62 CM,3.2,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T98Y-46,LB ,CM ,"HL Touring Frame - Yellow, 46",601.7437,Yellow,500,375,1003.91,46,42-46 CM,2.96,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98Y-50,LB ,CM ,"HL Touring Frame - Yellow, 50",601.7437,Yellow,500,375,1003.91,50,48-52 CM,3.0,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98Y-54,LB ,CM ,"HL Touring Frame - Yellow, 54",601.7437,Yellow,500,375,1003.91,54,54-58 CM,3.04,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-46,LB ,CM ,"HL Touring Frame - Blue, 46",601.7437,Blue,500,375,1003.91,46,42-46 CM,2.96,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-50,LB ,CM ,"HL Touring Frame - Blue, 50",601.7437,Blue,500,375,1003.91,50,48-52 CM,3.0,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-54,LB ,CM ,"HL Touring Frame - Blue, 54",601.7437,Blue,500,375,1003.91,54,54-58 CM,3.04,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-60,LB ,CM ,"HL Touring Frame - Blue, 60",601.7437,Blue,500,375,1003.91,60,60-62 CM,3.08,1,602.346,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T67U-50,LB ,CM ,"LL Touring Frame - Blue, 50",199.8519,Blue,500,375,333.42,50,48-52 CM,3.1,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-54,LB ,CM ,"LL Touring Frame - Blue, 54",199.8519,Blue,500,375,333.42,54,54-58 CM,3.14,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-58,LB ,CM ,"LL Touring Frame - Blue, 58",199.8519,Blue,500,375,333.42,58,54-58 CM,3.16,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-62,LB ,CM ,"LL Touring Frame - Blue, 62",199.8519,Blue,500,375,333.42,62,60-62 CM,3.2,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-44,LB ,CM ,"LL Touring Frame - Yellow, 44",199.8519,Yellow,500,375,333.42,44,42-46 CM,3.02,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-50,LB ,CM ,"LL Touring Frame - Yellow, 50",199.8519,Yellow,500,375,333.42,50,48-52 CM,3.1,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-54,LB ,CM ,"LL Touring Frame - Yellow, 54",199.8519,Yellow,500,375,333.42,54,54-58 CM,3.14,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-58,LB ,CM ,"LL Touring Frame - Yellow, 58",199.8519,Yellow,500,375,333.42,58,54-58 CM,3.16,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-44,LB ,CM ,"LL Touring Frame - Blue, 44",199.8519,Blue,500,375,333.42,44,42-46 CM,3.02,1,200.052,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-M63S-40,LB ,CM ,"ML Mountain Frame-W - Silver, 40",199.3757,Silver,500,375,364.09,40,38-40 CM,2.77,1,218.454,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M63S-42,LB ,CM ,"ML Mountain Frame-W - Silver, 42",199.3757,Silver,500,375,364.09,42,42-46 CM,2.81,1,218.454,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M63S-46,LB ,CM ,"ML Mountain Frame-W - Silver, 46",199.3757,Silver,500,375,364.09,46,42-46 CM,2.85,1,218.454,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M21S-42,LB ,CM ,"LL Mountain Frame - Silver, 42",144.5938,Silver,500,375,264.05,42,42-46 CM,2.92,1,158.43,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-44,LB ,CM ,"LL Mountain Frame - Silver, 44",144.5938,Silver,500,375,264.05,44,42-46 CM,2.96,1,158.43,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-48,LB ,CM ,"LL Mountain Frame - Silver, 48",144.5938,Silver,500,375,264.05,48,48-52 CM,3.0,1,158.43,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-52,LB ,CM ,"LL Mountain Frame - Silver, 52",144.5938,Silver,500,375,264.05,52,48-52 CM,3.04,1,158.43,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-42,LB ,CM ,"LL Mountain Frame - Black, 42",136.785,Black,500,375,249.79,42,42-46 CM,2.92,1,149.874,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-44,LB ,CM ,"LL Mountain Frame - Black, 44",136.785,Black,500,375,249.79,44,42-46 CM,2.96,1,149.874,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-48,LB ,CM ,"LL Mountain Frame - Black, 48",136.785,Black,500,375,249.79,48,48-52 CM,3.0,1,149.874,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-52,LB ,CM ,"LL Mountain Frame - Black, 52",136.785,Black,500,375,249.79,52,48-52 CM,3.04,1,149.874,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M63S-38,LB ,CM ,"ML Mountain Frame-W - Silver, 38",199.3757,Silver,500,375,364.09,38,38-40 CM,2.73,2,218.454,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M21B-40,LB ,CM ,"LL Mountain Frame - Black, 40",136.785,Black,500,375,249.79,40,38-40 CM,2.88,2,149.874,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-40,LB ,CM ,"LL Mountain Frame - Silver, 40",144.5938,Silver,500,375,264.05,40,38-40 CM,2.88,2,158.43,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
BK-T44U-60,LB ,CM ,"Touring-2000 Blue, 60",755.1508,Blue,100,75,1214.85,60,60-62 CM,27.9,4,728.91,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T79Y-46,LB ,CM ,"Touring-1000 Yellow, 46",1481.9379,Yellow,100,75,2384.07,46,42-46 CM,25.13,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-50,LB ,CM ,"Touring-1000 Yellow, 50",1481.9379,Yellow,100,75,2384.07,50,48-52 CM,25.42,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-54,LB ,CM ,"Touring-1000 Yellow, 54",1481.9379,Yellow,100,75,2384.07,54,54-58 CM,25.68,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-60,LB ,CM ,"Touring-1000 Yellow, 60",1481.9379,Yellow,100,75,2384.07,60,60-62 CM,25.9,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T18U-54,LB ,CM ,"Touring-3000 Blue, 54",461.4448,Blue,100,75,742.35,54,54-58 CM,29.68,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-58,LB ,CM ,"Touring-3000 Blue, 58",461.4448,Blue,100,75,742.35,58,54-58 CM,29.9,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-62,LB ,CM ,"Touring-3000 Blue, 62",461.4448,Blue,100,75,742.35,62,60-62 CM,30.0,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-44,LB ,CM ,"Touring-3000 Yellow, 44",461.4448,Yellow,100,75,742.35,44,42-46 CM,28.77,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-50,LB ,CM ,"Touring-3000 Yellow, 50",461.4448,Yellow,100,75,742.35,50,48-52 CM,29.13,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-54,LB ,CM ,"Touring-3000 Yellow, 54",461.4448,Yellow,100,75,742.35,54,54-58 CM,29.42,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-58,LB ,CM ,"Touring-3000 Yellow, 58",461.4448,Yellow,100,75,742.35,58,54-58 CM,29.79,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-62,LB ,CM ,"Touring-3000 Yellow, 62",461.4448,Yellow,100,75,742.35,62,60-62 CM,30.0,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T79U-46,LB ,CM ,"Touring-1000 Blue, 46",1481.9379,Blue,100,75,2384.07,46,42-46 CM,25.13,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79U-50,LB ,CM ,"Touring-1000 Blue, 50",1481.9379,Blue,100,75,2384.07,50,48-52 CM,25.42,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79U-54,LB ,CM ,"Touring-1000 Blue, 54",1481.9379,Blue,100,75,2384.07,54,54-58 CM,25.68,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79U-60,LB ,CM ,"Touring-1000 Blue, 60",1481.9379,Blue,100,75,2384.07,60,60-62 CM,25.9,4,1430.442,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T44U-46,LB ,CM ,"Touring-2000 Blue, 46",755.1508,Blue,100,75,1214.85,46,42-46 CM,27.13,4,728.91,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T44U-50,LB ,CM ,"Touring-2000 Blue, 50",755.1508,Blue,100,75,1214.85,50,48-52 CM,27.42,4,728.91,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T44U-54,LB ,CM ,"Touring-2000 Blue, 54",755.1508,Blue,100,75,1214.85,54,54-58 CM,27.68,4,728.91,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-R79Y-40,LB ,CM ,"Road-350-W Yellow, 40",1082.51,Yellow,100,75,1700.99,40,38-40 CM,15.35,4,1020.594,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R79Y-42,LB ,CM ,"Road-350-W Yellow, 42",1082.51,Yellow,100,75,1700.99,42,42-46 CM,15.77,4,1020.594,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R79Y-44,LB ,CM ,"Road-350-W Yellow, 44",1082.51,Yellow,100,75,1700.99,44,42-46 CM,16.13,4,1020.594,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R79Y-48,LB ,CM ,"Road-350-W Yellow, 48",1082.51,Yellow,100,75,1700.99,48,48-52 CM,16.42,4,1020.594,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R19B-58,LB ,CM ,"Road-750 Black, 58",343.6496,Black,100,75,539.99,58,54-58 CM,20.79,4,323.994,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-T18U-44,LB ,CM ,"Touring-3000 Blue, 44",461.4448,Blue,100,75,742.35,44,42-46 CM,28.77,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-50,LB ,CM ,"Touring-3000 Blue, 50",461.4448,Blue,100,75,742.35,50,48-52 CM,29.13,4,445.41,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-M38S-38,LB ,CM ,"Mountain-400-W Silver, 38",419.7784,Silver,100,75,769.49,38,38-40 CM,26.35,4,461.694,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M38S-40,LB ,CM ,"Mountain-400-W Silver, 40",419.7784,Silver,100,75,769.49,40,38-40 CM,26.77,4,461.694,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M38S-42,LB ,CM ,"Mountain-400-W Silver, 42",419.7784,Silver,100,75,769.49,42,42-46 CM,27.13,4,461.694,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M38S-46,LB ,CM ,"Mountain-400-W Silver, 46",419.7784,Silver,100,75,769.49,46,42-46 CM,27.42,4,461.694,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
BK-M18S-40,LB ,CM ,"Mountain-500 Silver, 40",308.2179,Silver,100,75,564.99,40,38-40 CM,27.35,4,338.994,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
