DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20050906,2005-09-06,3,Tuesday,6,249,37,September,9,3,2005,2,1,2006,1
20050907,2005-09-07,4,Wednesday,7,250,37,September,9,3,2005,2,1,2006,1
20050908,2005-09-08,5,Thursday,8,251,37,September,9,3,2005,2,1,2006,1
20050909,2005-09-09,6,Friday,9,252,37,September,9,3,2005,2,1,2006,1
20050910,2005-09-10,7,Saturday,10,253,37,September,9,3,2005,2,1,2006,1
20050911,2005-09-11,1,Sunday,11,254,38,September,9,3,2005,2,1,2006,1
20050912,2005-09-12,2,Monday,12,255,38,September,9,3,2005,2,1,2006,1
20050913,2005-09-13,3,Tuesday,13,256,38,September,9,3,2005,2,1,2006,1
20050914,2005-09-14,4,Wednesday,14,257,38,September,9,3,2005,2,1,2006,1
20050915,2005-09-15,5,Thursday,15,258,38,September,9,3,2005,2,1,2006,1
20050916,2005-09-16,6,Friday,16,259,38,September,9,3,2005,2,1,2006,1
20050917,2005-09-17,7,Saturday,17,260,38,September,9,3,2005,2,1,2006,1
20050918,2005-09-18,1,Sunday,18,261,39,September,9,3,2005,2,1,2006,1
20050919,2005-09-19,2,Monday,19,262,39,September,9,3,2005,2,1,2006,1
20050920,2005-09-20,3,Tuesday,20,263,39,September,9,3,2005,2,1,2006,1
20050921,2005-09-21,4,Wednesday,21,264,39,September,9,3,2005,2,1,2006,1
20050922,2005-09-22,5,Thursday,22,265,39,September,9,3,2005,2,1,2006,1
20050923,2005-09-23,6,Friday,23,266,39,September,9,3,2005,2,1,2006,1
20050924,2005-09-24,7,Saturday,24,267,39,September,9,3,2005,2,1,2006,1
20050925,2005-09-25,1,Sunday,25,268,40,September,9,3,2005,2,1,2006,1
20050926,2005-09-26,2,Monday,26,269,40,September,9,3,2005,2,1,2006,1
20050927,2005-09-27,3,Tuesday,27,270,40,September,9,3,2005,2,1,2006,1
20050928,2005-09-28,4,Wednesday,28,271,40,September,9,3,2005,2,1,2006,1
20050929,2005-09-29,5,Thursday,29,272,40,September,9,3,2005,2,1,2006,1
20050930,2005-09-30,6,Friday,30,273,40,September,9,3,2005,2,1,2006,1
20051001,2005-10-01,7,Saturday,1,274,40,October,10,4,2005,2,2,2006,1
20051002,2005-10-02,1,Sunday,2,275,41,October,10,4,2005,2,2,2006,1
20051003,2005-10-03,2,Monday,3,276,41,October,10,4,2005,2,2,2006,1
20051004,2005-10-04,3,Tuesday,4,277,41,October,10,4,2005,2,2,2006,1
20051005,2005-10-05,4,Wednesday,5,278,41,October,10,4,2005,2,2,2006,1
20051006,2005-10-06,5,Thursday,6,279,41,October,10,4,2005,2,2,2006,1
20051007,2005-10-07,6,Friday,7,280,41,October,10,4,2005,2,2,2006,1
20051008,2005-10-08,7,Saturday,8,281,41,October,10,4,2005,2,2,2006,1
20051009,2005-10-09,1,Sunday,9,282,42,October,10,4,2005,2,2,2006,1
20051010,2005-10-10,2,Monday,10,283,42,October,10,4,2005,2,2,2006,1
20051011,2005-10-11,3,Tuesday,11,284,42,October,10,4,2005,2,2,2006,1
20051012,2005-10-12,4,Wednesday,12,285,42,October,10,4,2005,2,2,2006,1
20051013,2005-10-13,5,Thursday,13,286,42,October,10,4,2005,2,2,2006,1
20051014,2005-10-14,6,Friday,14,287,42,October,10,4,2005,2,2,2006,1
20051015,2005-10-15,7,Saturday,15,288,42,October,10,4,2005,2,2,2006,1
20051016,2005-10-16,1,Sunday,16,289,43,October,10,4,2005,2,2,2006,1
20051017,2005-10-17,2,Monday,17,290,43,October,10,4,2005,2,2,2006,1
20051018,2005-10-18,3,Tuesday,18,291,43,October,10,4,2005,2,2,2006,1
20051019,2005-10-19,4,Wednesday,19,292,43,October,10,4,2005,2,2,2006,1
20051020,2005-10-20,5,Thursday,20,293,43,October,10,4,2005,2,2,2006,1
20051021,2005-10-21,6,Friday,21,294,43,October,10,4,2005,2,2,2006,1
20051022,2005-10-22,7,Saturday,22,295,43,October,10,4,2005,2,2,2006,1
20051023,2005-10-23,1,Sunday,23,296,44,October,10,4,2005,2,2,2006,1
20051024,2005-10-24,2,Monday,24,297,44,October,10,4,2005,2,2,2006,1
20051025,2005-10-25,3,Tuesday,25,298,44,October,10,4,2005,2,2,2006,1
20051026,2005-10-26,4,Wednesday,26,299,44,October,10,4,2005,2,2,2006,1
20051027,2005-10-27,5,Thursday,27,300,44,October,10,4,2005,2,2,2006,1
20051028,2005-10-28,6,Friday,28,301,44,October,10,4,2005,2,2,2006,1
20051029,2005-10-29,7,Saturday,29,302,44,October,10,4,2005,2,2,2006,1
20051030,2005-10-30,1,Sunday,30,303,45,October,10,4,2005,2,2,2006,1
20051031,2005-10-31,2,Monday,31,304,45,October,10,4,2005,2,2,2006,1
20051101,2005-11-01,3,Tuesday,1,305,45,November,11,4,2005,2,2,2006,1
20051102,2005-11-02,4,Wednesday,2,306,45,November,11,4,2005,2,2,2006,1
20051103,2005-11-03,5,Thursday,3,307,45,November,11,4,2005,2,2,2006,1
20051104,2005-11-04,6,Friday,4,308,45,November,11,4,2005,2,2,2006,1
20051105,2005-11-05,7,Saturday,5,309,45,November,11,4,2005,2,2,2006,1
20051106,2005-11-06,1,Sunday,6,310,46,November,11,4,2005,2,2,2006,1
20051107,2005-11-07,2,Monday,7,311,46,November,11,4,2005,2,2,2006,1
20051108,2005-11-08,3,Tuesday,8,312,46,November,11,4,2005,2,2,2006,1
20051109,2005-11-09,4,Wednesday,9,313,46,November,11,4,2005,2,2,2006,1
20051110,2005-11-10,5,Thursday,10,314,46,November,11,4,2005,2,2,2006,1
20051111,2005-11-11,6,Friday,11,315,46,November,11,4,2005,2,2,2006,1
20051112,2005-11-12,7,Saturday,12,316,46,November,11,4,2005,2,2,2006,1
20051113,2005-11-13,1,Sunday,13,317,47,November,11,4,2005,2,2,2006,1
20051114,2005-11-14,2,Monday,14,318,47,November,11,4,2005,2,2,2006,1
20051115,2005-11-15,3,Tuesday,15,319,47,November,11,4,2005,2,2,2006,1
20051116,2005-11-16,4,Wednesday,16,320,47,November,11,4,2005,2,2,2006,1
20051117,2005-11-17,5,Thursday,17,321,47,November,11,4,2005,2,2,2006,1
20051118,2005-11-18,6,Friday,18,322,47,November,11,4,2005,2,2,2006,1
20051119,2005-11-19,7,Saturday,19,323,47,November,11,4,2005,2,2,2006,1
20051120,2005-11-20,1,Sunday,20,324,48,November,11,4,2005,2,2,2006,1
20051121,2005-11-21,2,Monday,21,325,48,November,11,4,2005,2,2,2006,1
20051122,2005-11-22,3,Tuesday,22,326,48,November,11,4,2005,2,2,2006,1
