DateKey,ProductAlternateKey,UnitCost,UnitsIn,InventoryInValue
20070702,BK-T79Y-46,472.61,73,34500.53
20070702,BK-T79Y-50,628.76,36,22635.36
20070702,BK-T79Y-60,472.24,45,21250.8
20070702,FR-M63S-40,115.87,118,13672.66
20070702,FR-R38B-52,141.87,94,13335.78
20070702,FR-R72Y-44,185.83,86,15981.380000000001
20070704,BK-R19B-44,213.57,21,4484.97
20070706,BK-R89B-44,1000.6,15,15009.0
20070706,BK-T79U-54,729.71,9,6567.39
20070707,BK-M38S-40,266.92,20,5338.400000000001
20070708,BK-R64Y-42,542.59,20,10851.800000000001
20070712,BK-R79Y-42,517.01,14,7238.139999999999
20070713,BK-R64Y-48,418.09,10,4180.9
20070716,BK-M38S-42,317.26,25,7931.5
20070717,BK-R19B-48,187.15,21,3930.15
20070719,BK-T79Y-60,466.87,5,2334.35
20070721,BK-M68S-38,712.86,21,14970.06
20070721,BK-R19B-52,222.02,8,1776.16
20070721,BK-R89R-58,981.36,21,20608.56
20070723,BK-R19B-58,259.28,21,5444.879999999999
20070723,BK-R89B-58,917.23,7,6420.610000000001
20070724,BK-R89B-48,826.73,26,21494.98
20070725,BK-M68B-46,682.22,15,10233.300000000001
20070725,BK-T18U-50,161.64,19,3071.16
20070726,BK-R89B-52,867.38,8,6939.04
20070727,BK-M68B-38,708.63,10,7086.3
20070729,BK-M68S-42,733.48,22,16136.560000000001
20070729,BK-R79Y-48,616.48,6,3698.88
20070730,BK-R89B-44,1003.01,19,19057.19
20070731,BK-T79Y-46,463.52,20,9270.4
20070802,BK-M18B-40,200.37,15,3005.55
20070802,BK-M18B-42,159.74,57,9105.18
20070802,BK-M18B-44,205.3,53,10880.900000000001
20070802,BK-M18B-48,167.76,46,7716.959999999999
20070802,BK-M18B-52,211.69,40,8467.6
20070802,BK-M18S-40,77.08,52,4008.16
20070802,BK-M18S-42,64.77,58,3756.66
20070802,BK-M18S-44,80.05,49,3922.45
20070802,BK-M18S-48,76.32,36,2747.5199999999995
20070802,BK-M18S-52,62.11,52,3229.72
20070802,BK-M38S-38,312.93,15,4693.95
20070802,BK-M38S-40,266.3,52,13847.6
20070802,BK-M38S-46,304.99,36,10979.64
20070802,BK-M68B-38,710.75,155,110166.25
20070802,BK-M68B-42,716.23,98,70190.54000000001
20070802,BK-M68B-46,677.71,67,45406.57
20070802,BK-M68S-38,720.48,85,61240.8
20070802,BK-M68S-42,735.37,100,73537.0
20070802,BK-M68S-46,706.56,89,62883.84
20070802,BK-R19B-44,214.83,62,13319.460000000001
20070802,BK-R19B-48,186.44,151,28152.44
20070802,BK-R19B-52,221.5,117,25915.5
20070802,BK-R19B-58,257.17,82,21087.940000000002
20070802,BK-R64Y-38,421.2,86,36223.2
20070802,BK-R64Y-40,488.28,79,38574.119999999995
20070802,BK-R64Y-42,562.19,52,29233.880000000005
20070802,BK-R64Y-44,443.77,37,16419.489999999998
20070802,BK-R64Y-48,412.62,78,32184.36
20070802,BK-R79Y-40,695.67,141,98089.47
20070802,BK-R79Y-42,519.24,79,41019.96
20070802,BK-R79Y-44,692.54,45,31164.3
20070802,BK-R79Y-48,609.67,153,93279.51
20070802,BK-R89B-44,995.21,77,76631.17
20070802,BK-R89B-48,819.96,43,35258.28
20070802,BK-R89B-52,869.44,60,52166.4
20070802,BK-R89B-58,920.12,43,39565.16
20070802,BK-R89R-58,994.23,45,44740.35
20070802,BK-T18U-44,186.44,28,5220.32
20070802,BK-T18U-50,162.1,60,9726.0
20070802,BK-T18U-54,175.87,70,12310.9
20070802,BK-T18U-58,182.53,34,6206.02
20070802,BK-T18U-62,202.74,23,4663.02
20070802,BK-T18Y-44,176.85,90,15916.5
20070802,BK-T18Y-50,178.51,65,11603.15
20070802,BK-T18Y-54,169.06,35,5917.1
20070802,BK-T18Y-58,171.75,41,7041.75
20070802,BK-T18Y-62,169.46,94,15929.240000000002
20070802,BK-T44U-46,412.56,50,20628.0
20070802,BK-T44U-50,395.89,29,11480.81
20070802,BK-T44U-54,380.02,133,50542.659999999996
20070802,BK-T44U-60,391.6,52,20363.2
20070802,BK-T79U-46,814.44,101,82258.44
20070802,BK-T79U-50,669.29,65,43503.85
20070802,BK-T79U-54,734.35,55,40389.25
20070802,BK-T79U-60,741.17,132,97834.43999999999
20070802,BK-T79Y-46,463.42,72,33366.24
20070802,BK-T79Y-50,631.09,43,27136.870000000003
20070802,BK-T79Y-54,628.55,37,23256.35
20070802,BK-T79Y-60,472.23,154,72723.42
20070802,FR-M21B-42,70.28,49,3443.7200000000003
20070802,FR-M21B-44,78.32,141,11043.119999999999
20070802,FR-M21B-48,93.84,124,11636.16
20070802,FR-M21S-40,90.32,52,4696.639999999999
20070802,FR-M21S-42,78.77,118,9294.859999999999
20070802,FR-M21S-44,95.03,116,11023.48
20070802,FR-M21S-52,77.66,130,10095.8
20070802,FR-M63S-40,117.28,80,9382.4
20070802,FR-M63S-42,116.1,131,15209.099999999999
20070802,FR-M63S-46,124.62,126,15702.12
20070802,FR-M94B-42,390.98,139,54346.22
20070802,FR-M94S-38,416.32,163,67860.16
20070802,FR-M94S-42,383.9,105,40309.5
20070802,FR-R38B-52,144.55,84,12142.2
20070802,FR-R38B-58,120.68,147,17739.960000000003
20070802,FR-R72Y-38,224.48,90,20203.2
20070802,FR-R72Y-44,188.67,168,31696.559999999998
20070802,FR-R72Y-48,237.39,119,28249.41
20070802,FR-R92B-44,534.17,26,13888.419999999998
20070802,FR-R92R-44,477.38,107,51079.659999999996
20070802,FR-R92R-62,458.73,37,16973.010000000002
20070802,FR-T67U-50,104.36,30,3130.8
20070802,FR-T67Y-44,108.18,111,12007.980000000001
20070802,FR-T67Y-62,112.62,91,10248.42
20070802,FR-T98U-54,302.72,60,18163.2
20070802,FR-T98U-60,335.87,68,22839.16
20070802,FR-T98Y-54,322.22,135,43499.700000000004
20070802,FR-T98Y-60,309.24,31,9586.44
20070804,BK-M38S-40,267.61,18,4816.9800000000005
20070808,BK-M68B-46,670.42,14,9385.88
20070808,BK-R64Y-44,448.67,25,11216.75
20070808,BK-R89B-48,815.69,25,20392.25
20070810,BK-M68B-42,715.86,8,5726.88
20070811,BK-M68B-38,708.3,22,15582.599999999999
20070814,BK-M68S-46,705.81,10,7058.099999999999
20070817,BK-M68S-38,723.55,17,12300.349999999999
20070818,BK-R79Y-44,682.68,22,15018.96
20070820,BK-M68B-42,708.63,9,6377.67
20070822,BK-R64Y-42,554.94,11,6104.34
20070822,BK-R79Y-40,691.93,15,10378.949999999999
20070826,BK-R89B-58,909.42,5,4547.099999999999
20070827,BK-M68B-46,672.26,11,7394.86
20070830,BK-R19B-48,189.49,5,947.45
20070901,BK-R19B-52,222.6,21,4674.599999999999
20070901,BK-R89B-52,892.49,22,19634.78
20070902,BK-M18B-40,199.76,20,3995.2
20070902,BK-M18B-42,158.87,43,6831.41
20070902,BK-M18B-44,211.23,50,10561.5
20070902,BK-M18B-48,167.8,39,6544.200000000001
20070902,BK-M18B-52,212.64,14,2976.96
20070902,BK-M18S-40,79.65,52,4141.8
20070902,BK-M18S-42,65.34,40,2613.6000000000004
20070902,BK-M18S-44,80.59,56,4513.04
20070902,BK-M18S-48,76.36,79,6032.44
20070902,BK-M18S-52,63.67,52,3310.84
20070902,BK-M38S-38,318.08,57,18130.559999999998
20070902,BK-M38S-40,269.19,59,15882.21
20070902,BK-M38S-42,310.53,37,11489.609999999999
20070902,BK-M38S-46,308.91,24,7413.84
20070902,BK-M68B-38,697.0,157,109429.0
20070902,BK-M68B-42,708.1,110,77891.0
20070902,BK-M68B-46,675.62,109,73642.58
20070902,BK-M68S-38,735.97,100,73597.0
20070902,BK-M68S-42,730.81,88,64311.28
20070902,BK-M68S-46,712.56,77,54867.119999999995
20070902,BK-R19B-44,213.09,28,5966.52
20070902,BK-R19B-48,188.16,99,18627.84
20070902,BK-R19B-52,223.03,88,19626.64
20070902,BK-R19B-58,255.3,74,18892.2
20070902,BK-R64Y-38,424.58,90,38212.2
20070902,BK-R64Y-40,492.28,49,24121.719999999998
20070902,BK-R64Y-42,560.61,51,28591.11
20070902,BK-R64Y-44,444.88,26,11566.88
20070902,BK-R64Y-48,410.63,63,25869.69
20070902,BK-R79Y-40,697.94,103,71887.82
20070902,BK-R79Y-42,525.53,55,28904.149999999998
20070902,BK-R79Y-44,700.45,17,11907.650000000001
20070902,BK-R79Y-48,601.71,139,83637.69
20070902,BK-R89B-44,992.23,70,69456.1
20070902,BK-R89B-48,811.83,50,40591.5
20070902,BK-R89B-52,892.49,24,21419.760000000002
20070902,BK-R89B-58,904.49,41,37084.090000000004
20070902,BK-R89R-58,1019.12,19,19363.28
20070902,BK-T18U-44,191.29,47,8990.63
20070902,BK-T18U-50,162.13,109,17672.17
20070902,BK-T18U-54,177.34,85,15073.9
20070902,BK-T18U-58,186.17,62,11542.539999999999
20070902,BK-T18U-62,202.76,31,6285.5599999999995
20070902,BK-T18Y-44,174.09,86,14971.74
20070902,BK-T18Y-50,177.85,91,16184.35
20070902,BK-T18Y-54,169.98,43,7309.139999999999
20070902,BK-T18Y-58,171.14,35,5989.9
20070902,BK-T18Y-62,174.42,88,15348.96
20070902,BK-T44U-46,407.31,69,28104.39
20070902,BK-T44U-50,416.27,27,11239.289999999999
20070902,BK-T44U-54,379.41,94,35664.54
20070902,BK-T44U-60,392.34,130,51004.2
20070902,BK-T79U-46,811.19,73,59216.87
20070902,BK-T79U-50,668.61,54,36104.94
20070902,BK-T79U-54,719.49,38,27340.62
20070902,BK-T79U-60,728.23,94,68453.62
20070902,BK-T79Y-46,465.97,99,46131.030000000006
20070902,BK-T79Y-50,634.42,72,45678.24
20070902,BK-T79Y-54,632.82,41,25945.620000000003
20070902,BK-T79Y-60,468.93,115,53926.950000000004
20070902,FR-M21B-42,71.04,91,6464.64
20070902,FR-M21B-44,77.04,80,6163.200000000001
20070902,FR-M21S-40,88.95,154,13698.300000000001
20070902,FR-M21S-42,78.29,66,5167.14
20070902,FR-M63S-40,116.64,105,12247.2
20070902,FR-M63S-42,117.09,109,12762.81
20070902,FR-M94B-38,416.0,113,47008.0
20070902,FR-M94S-46,437.46,70,30622.199999999997
20070902,FR-R38B-44,125.91,86,10828.26
20070902,FR-R38B-52,144.44,144,20799.36
20070902,FR-R92B-44,531.52,45,23918.399999999998
20070902,FR-R92R-62,455.55,43,19588.65
20070902,FR-T67U-50,105.6,120,12672.0
20070902,FR-T67U-54,122.76,61,7488.360000000001
20070902,FR-T67Y-50,103.13,133,13716.289999999999
20070902,FR-T98U-54,298.12,178,53065.36
20070902,FR-T98U-60,336.35,100,33635.0
20070902,FR-T98Y-54,325.41,48,15619.68
20070902,FR-T98Y-60,299.93,177,53087.61
20070907,BK-R89B-52,889.36,22,19565.920000000002
20070909,BK-R64Y-48,411.73,14,5764.22
20070910,BK-M68S-46,723.95,6,4343.700000000001
20070913,BK-M18S-40,79.45,20,1589.0
20070913,BK-M68S-38,733.61,10,7336.1
20070913,BK-R64Y-40,489.37,3,1468.1100000000001
20070914,BK-R64Y-40,487.7,11,5364.7
20070914,BK-R89B-44,990.19,15,14852.85
20070915,BK-M68S-46,726.76,17,12354.92
20070916,BK-T18Y-54,171.0,18,3078.0
20070917,BK-R79Y-40,700.56,11,7706.16
20070918,BK-R19B-44,212.55,16,3400.8
20070918,BK-T44U-50,408.49,17,6944.33
20070918,BK-T79U-46,802.19,8,6417.52
20070921,BK-R79Y-48,601.13,19,11421.47
20070921,BK-R89B-48,824.11,28,23075.08
20070924,BK-M68S-42,721.44,21,15150.240000000002
20070925,BK-T79U-50,666.53,22,14663.66
20070926,BK-M68S-38,731.42,16,11702.72
20070926,BK-R19B-48,186.38,7,1304.6599999999999
20070926,BK-R79Y-42,536.8,14,7515.199999999999
20070927,BK-R19B-58,255.58,10,2555.8
20070927,BK-R64Y-42,558.86,23,12853.78
20070927,BK-T79U-60,716.67,14,10033.38
20070928,BK-M68B-46,660.43,13,8585.59
20070929,BK-M18B-42,159.62,9,1436.58
20070929,BK-M68B-42,732.73,6,4396.38
20071002,BK-M18B-40,200.83,32,6426.56
20071002,BK-M18B-42,159.03,22,3498.66
20071002,BK-M18B-48,168.96,33,5575.68
20071002,BK-M18B-52,211.86,24,5084.64
20071002,BK-M18S-40,80.65,26,2096.9
20071002,BK-M18S-42,62.09,42,2607.78
20071002,BK-M18S-48,74.38,13,966.9399999999999
20071002,BK-M18S-52,63.96,32,2046.72
20071002,BK-M38S-38,319.83,4,1279.32
20071002,BK-M38S-40,265.76,41,10896.16
20071002,BK-M38S-42,308.89,38,11737.82
20071002,BK-M38S-46,306.53,19,5824.07
20071002,BK-M68B-38,703.42,79,55570.18
20071002,BK-M68B-42,730.02,76,55481.52
20071002,BK-M68B-46,663.45,42,27864.9
20071002,BK-M68S-38,732.29,58,42472.82
20071002,BK-M68S-42,717.44,47,33719.68
20071002,BK-M68S-46,733.42,48,35204.159999999996
20071002,BK-R19B-44,209.69,34,7129.46
20071002,BK-R19B-48,189.14,124,23453.359999999997
20071002,BK-R19B-52,217.92,68,14818.56
20071002,BK-R19B-58,255.68,43,10994.24
20071002,BK-R64Y-38,431.08,40,17243.2
20071002,BK-R64Y-40,490.32,56,27457.92
20071002,BK-R64Y-42,561.21,25,14030.25
20071002,BK-R64Y-44,456.79,14,6395.06
20071002,BK-R64Y-48,405.32,82,33236.24
20071002,BK-R79Y-40,709.59,93,65991.87000000001
20071002,BK-R79Y-42,538.98,60,32338.800000000003
20071002,BK-R79Y-44,716.16,34,24349.44
20071002,BK-R79Y-48,594.0,84,49896.0
20071002,BK-R89B-44,997.17,56,55841.52
20071002,BK-R89B-48,824.4,38,31327.2
20071002,BK-R89B-52,880.67,37,32584.789999999997
20071002,BK-R89B-58,916.84,11,10085.24
20071002,BK-R89R-58,1019.2,14,14268.800000000001
20071002,BK-T18U-50,162.79,37,6023.23
20071002,BK-T18U-54,178.42,47,8385.74
20071002,BK-T18U-58,184.26,40,7370.4
20071002,BK-T18U-62,206.97,4,827.88
20071002,BK-T18Y-44,170.4,73,12439.2
20071002,BK-T18Y-50,183.53,30,5505.9
20071002,BK-T18Y-54,173.28,27,4678.56
20071002,BK-T18Y-62,172.96,43,7437.280000000001
20071002,BK-T44U-46,407.42,47,19148.74
20071002,BK-T44U-54,378.79,76,28788.04
20071002,BK-T44U-60,390.74,38,14848.12
20071002,BK-T79U-46,804.31,50,40215.5
20071002,BK-T79U-50,675.04,25,16876.0
20071002,BK-T79U-54,732.39,24,17577.36
20071002,BK-T79U-60,717.86,43,30867.98
20071002,BK-T79Y-46,454.31,53,24078.43
20071002,BK-T79Y-50,633.65,29,18375.85
20071002,BK-T79Y-54,630.22,26,16385.72
20071002,BK-T79Y-60,474.2,85,40307.0
20071002,FR-M21S-42,77.65,122,9473.300000000001
20071002,FR-M21S-52,77.54,63,4885.02
20071002,FR-M63S-40,117.79,137,16137.230000000001
20071002,FR-R72Y-38,209.76,73,15312.48
20071002,FR-R72Y-40,259.94,59,15336.46
20071002,FR-R72Y-44,188.57,40,7542.799999999999
20071002,FR-T67Y-62,115.1,123,14157.3
20071005,BK-M38S-38,322.1,23,7408.3
20071006,BK-M68S-38,727.39,19,13820.41
20071007,BK-M68B-46,665.24,12,7982.88
20071007,BK-R64Y-38,430.55,17,7319.35
20071007,BK-R64Y-44,456.14,14,6385.96
20071007,BK-T44U-50,405.78,18,7304.039999999999
20071009,BK-T79Y-46,445.79,15,6686.85
20071013,BK-M68B-42,720.41,18,12967.38
20071013,BK-R19B-52,219.38,21,4606.98
20071014,BK-R79Y-42,545.31,16,8724.96
20071015,BK-T79U-60,720.71,18,12972.78
20071017,BK-M68S-46,738.3,3,2214.8999999999996
20071019,BK-M68B-46,661.76,17,11249.92
20071019,BK-M68S-42,729.02,6,4374.12
20071019,BK-R89R-58,1021.17,27,27571.59
20071020,BK-M68S-46,741.77,3,2225.31
20071021,BK-R19B-44,207.71,12,2492.52
20071022,BK-R79Y-40,724.23,18,13036.14
20071023,BK-M68S-38,721.84,20,14436.800000000001
20071023,BK-M68S-46,743.55,11,8179.049999999999
20071023,BK-R19B-48,186.04,6,1116.24
20071023,BK-T79Y-50,630.04,19,11970.759999999998
20071024,BK-M68S-42,726.47,10,7264.700000000001
20071026,BK-M38S-46,305.91,13,3976.8300000000004
20071026,BK-R19B-58,254.68,17,4329.56
20071027,BK-R89B-58,912.73,21,19167.33
20071029,BK-R19B-48,185.11,16,2961.76
20071031,BK-M68B-38,704.94,20,14098.800000000001
20071101,BK-R19B-44,206.1,21,4328.099999999999
20071102,BK-M18B-40,204.46,28,5724.88
20071102,BK-M18B-42,163.49,48,7847.52
20071102,BK-M18B-44,211.22,22,4646.84
20071102,BK-M18B-48,169.36,56,9484.16
20071102,BK-M18B-52,212.75,10,2127.5
20071102,BK-M18S-40,81.4,35,2849.0
20071102,BK-M18S-42,61.96,43,2664.28
20071102,BK-M18S-44,81.68,63,5145.84
20071102,BK-M18S-48,73.45,68,4994.6
20071102,BK-M18S-52,63.06,36,2270.16
20071102,BK-M38S-38,327.45,28,9168.6
20071102,BK-M38S-40,264.53,39,10316.669999999998
20071102,BK-M38S-42,307.34,9,2766.06
20071102,BK-M38S-46,305.35,28,8549.800000000001
20071102,BK-M68B-38,705.99,127,89660.73
20071102,BK-M68B-42,729.5,126,91917.0
20071102,BK-M68B-46,657.64,55,36170.2
20071102,BK-M68S-38,725.42,82,59484.439999999995
20071102,BK-M68S-42,720.29,75,54021.75
20071102,BK-M68S-46,737.08,77,56755.16
20071102,BK-R19B-44,205.77,19,3909.63
20071102,BK-R19B-48,186.54,103,19213.62
20071102,BK-R19B-52,222.35,102,22679.7
20071102,BK-R19B-58,254.67,62,15789.539999999999
20071102,BK-R64Y-38,433.56,79,34251.24
20071102,BK-R64Y-40,485.23,57,27658.11
20071102,BK-R64Y-42,557.2,60,33432.0
20071102,BK-R64Y-44,450.55,48,21626.4
20071102,BK-R64Y-48,405.56,63,25550.28
20071102,BK-R79Y-40,714.91,99,70776.09
20071102,BK-R79Y-42,552.55,80,44204.0
20071102,BK-R79Y-44,729.81,32,23353.92
20071102,BK-R79Y-48,593.38,144,85446.72
20071102,BK-R89B-44,987.9,52,51370.799999999996
20071102,BK-R89B-48,848.37,71,60234.27
20071102,BK-R89B-52,907.92,55,49935.6
20071102,BK-R89B-58,914.25,30,27427.5
20071102,BK-R89R-58,1031.36,38,39191.67999999999
20071102,BK-T18U-44,194.51,18,3501.18
20071102,BK-T18U-50,163.01,93,15159.929999999998
20071102,BK-T18U-54,178.32,40,7132.799999999999
20071102,BK-T18U-58,185.09,31,5737.79
20071102,BK-T18U-62,211.55,41,8673.550000000001
20071102,BK-T18Y-44,167.92,54,9067.679999999998
20071102,BK-T18Y-50,182.59,61,11137.99
20071102,BK-T18Y-54,174.0,29,5046.0
20071102,BK-T18Y-58,169.06,12,2028.72
20071102,BK-T18Y-62,172.18,85,14635.300000000001
20071102,BK-T44U-46,408.15,24,9795.599999999999
20071102,BK-T44U-54,381.33,87,33175.71
20071102,BK-T44U-60,392.6,70,27482.0
20071102,BK-T79U-46,815.24,86,70110.64
20071102,BK-T79U-50,685.28,76,52081.28
20071102,BK-T79U-60,710.77,90,63969.299999999996
20071102,BK-T79Y-46,448.91,57,25587.870000000003
20071102,BK-T79Y-50,632.8,33,20882.399999999998
20071102,BK-T79Y-54,628.32,29,18221.280000000002
20071102,BK-T79Y-60,474.76,75,35607.0
20071102,FR-M21B-42,71.96,95,6836.2
20071102,FR-M21B-44,77.03,45,3466.35
20071102,FR-M21B-48,94.99,124,11778.76
20071102,FR-M21S-44,96.45,115,11091.75
20071102,FR-M63S-42,116.97,65,7603.05
20071102,FR-M94B-42,360.7,54,19477.8
20071102,FR-M94S-38,429.55,132,56700.6
20071102,FR-R72Y-44,190.83,136,25952.88
20071102,FR-R72Y-48,246.8,60,14808.0
20071102,FR-R92B-44,548.15,113,61940.95
20071102,FR-R92R-62,462.45,71,32833.95
20071102,FR-T98U-46,332.48,59,19616.32
20071102,FR-T98U-50,312.0,10,3120.0
20071102,FR-T98Y-50,349.95,7,2449.65
20071102,FR-T98Y-54,333.63,44,14679.72
20071103,BK-T79U-54,716.76,12,8601.119999999999
20071104,BK-M68B-46,657.05,23,15112.15
20071109,BK-R19B-44,204.36,5,1021.8000000000001
20071109,BK-T79U-46,815.14,16,13042.24
20071111,BK-M38S-42,307.91,18,5542.38
20071112,BK-T79Y-60,482.39,14,6753.46
20071114,BK-M68B-38,713.4,12,8560.8
20071115,BK-M18S-52,62.46,4,249.84
20071115,BK-R19B-44,204.16,13,2654.08
20071115,BK-R64Y-40,488.51,13,6350.63
20071115,BK-T18U-54,177.92,19,3380.4799999999996
20071116,BK-M68S-46,749.8,8,5998.4
20071118,BK-R19B-52,227.01,12,2724.12
20071119,BK-R79Y-44,730.12,26,18983.12
20071120,BK-M68B-42,730.47,14,10226.58
20071120,BK-M68S-38,736.04,7,5152.28
20071120,BK-R79Y-40,718.6,8,5748.8
20071123,BK-M68S-46,743.73,19,14130.87
20071125,BK-M68B-46,651.12,4,2604.48
20071125,BK-M68S-38,735.73,18,13243.14
20071125,BK-R19B-58,258.72,21,5433.120000000001
20071125,BK-R89B-44,988.7,11,10875.7
20071126,BK-T79Y-50,633.96,17,10777.32
20071127,BK-M68B-38,711.82,3,2135.46
20071127,BK-T44U-50,400.26,21,8405.46
20071128,BK-M68B-42,726.51,19,13803.69
20071128,BK-M68B-46,649.49,21,13639.29
20071128,BK-R19B-44,203.14,21,4265.94
20071128,BK-R64Y-38,427.85,26,11124.1
20071128,BK-R79Y-40,720.59,15,10808.85
20071129,BK-M68S-42,718.98,23,16536.54
20071129,BK-R79Y-48,595.52,22,13101.439999999999
20071130,BK-R89B-58,920.36,17,15646.12
20071201,BK-M18B-44,206.95,23,4759.849999999999
20071201,BK-M68B-38,719.32,5,3596.6000000000004
20071201,BK-R19B-52,229.78,14,3216.92
20071201,BK-T44U-60,398.64,8,3189.12
20071201,BK-T79Y-46,459.75,21,9654.75
20071202,BK-M18B-40,208.98,22,4597.5599999999995
20071202,BK-M18B-42,157.34,35,5506.900000000001
20071202,BK-M18B-44,207.53,5,1037.65
20071202,BK-M18B-48,170.11,32,5443.52
20071202,BK-M18B-52,207.06,37,7661.22
20071202,BK-M18S-40,81.16,54,4382.639999999999
20071202,BK-M18S-42,63.19,40,2527.6
20071202,BK-M18S-44,82.89,31,2569.59
20071202,BK-M18S-48,73.37,43,3154.9100000000003
20071202,BK-M18S-52,62.5,57,3562.5
20071202,BK-M38S-38,336.2,23,7732.599999999999
20071202,BK-M38S-40,268.41,76,20399.160000000003
20071202,BK-M38S-42,311.7,19,5922.3
20071202,BK-M38S-46,303.69,18,5466.42
20071202,BK-M68B-38,718.74,120,86248.8
20071202,BK-M68B-42,733.73,104,76307.92
20071202,BK-M68B-46,646.05,70,45223.5
20071202,BK-M68S-38,738.14,63,46502.82
20071202,BK-M68S-42,715.88,52,37225.76
20071202,BK-M68S-46,743.85,61,45374.85
20071202,BK-R19B-44,203.71,5,1018.5500000000001
20071202,BK-R19B-48,185.46,113,20956.98
20071202,BK-R19B-52,228.68,89,20352.52
20071202,BK-R19B-58,259.93,32,8317.76
20071202,BK-R64Y-38,429.81,41,17622.21
20071202,BK-R64Y-40,485.42,47,22814.74
20071202,BK-R64Y-42,573.28,44,25224.32
20071202,BK-R64Y-44,439.75,14,6156.5
20071202,BK-R64Y-48,405.91,93,37749.630000000005
20071202,BK-R79Y-40,710.63,114,81011.81999999999
20071202,BK-R79Y-42,569.24,61,34723.64
20071202,BK-R79Y-44,736.87,8,5894.96
20071202,BK-R79Y-48,594.74,132,78505.68000000001
20071202,BK-R89B-44,984.7,56,55143.200000000004
20071202,BK-R89B-48,871.55,45,39219.75
20071202,BK-R89B-52,927.92,51,47323.92
20071202,BK-R89B-58,923.86,15,13857.9
20071202,BK-R89R-58,1034.33,19,19652.269999999997
20071202,BK-T18U-44,190.46,43,8189.780000000001
20071202,BK-T18U-50,167.89,92,15445.88
20071202,BK-T18U-54,174.18,73,12715.140000000001
20071202,BK-T18U-58,183.06,62,11349.72
20071202,BK-T18U-62,208.61,22,4589.42
20071202,BK-T18Y-44,169.53,83,14070.99
20071202,BK-T18Y-50,183.49,65,11926.85
20071202,BK-T18Y-54,169.67,62,10519.539999999999
20071202,BK-T18Y-58,168.26,40,6730.4
20071202,BK-T18Y-62,169.76,69,11713.439999999999
20071202,BK-T44U-46,407.08,56,22796.48
20071202,BK-T44U-50,399.97,23,9199.310000000001
20071202,BK-T44U-54,370.04,90,33303.6
20071202,BK-T44U-60,396.96,82,32550.719999999998
20071202,BK-T79U-46,812.36,87,70675.32
20071202,BK-T79U-50,693.84,41,28447.440000000002
20071202,BK-T79U-54,726.08,31,22508.48
20071202,BK-T79U-60,696.2,115,80063.0
20071202,BK-T79Y-46,460.53,99,45592.469999999994
20071202,BK-T79Y-50,629.32,67,42164.44
20071202,BK-T79Y-54,640.62,42,26906.04
20071202,BK-T79Y-60,485.01,97,47045.97
20071202,FR-M21B-44,75.57,29,2191.5299999999997
